,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
381,beyneu,0,KZ,1551928917,74,45.32,55.19,-3.16,1.52
382,hobyo,0,SO,1551928775,89,5.35,48.53,24.64,5.42
383,vidor,75,US,1551928806,57,30.13,-94.02,10.0,2.6
384,cortez,90,US,1551928913,61,37.35,-108.58,10.0,5.7
385,namibe,80,AO,1551928682,100,-15.19,12.15,25.42,4.27
386,antofagasta,75,CL,1551924000,72,-23.65,-70.4,20.0,4.6
387,nova esperanca,44,BR,1551928918,50,4.44,-61.12,26.17,2.12
388,arman,36,RU,1551928919,67,59.7,150.17,-9.54,1.67
389,malanje,76,AO,1551928919,97,-9.54,16.35,18.59,1.12
390,saint-gedeon,75,CA,1551928882,70,48.5,-71.77,-16.67,4.6
391,sao filipe,0,CV,1551928634,96,14.9,-24.5,21.34,8.27
392,maraa,12,BR,1551928920,90,-1.83,-65.37,26.22,1.17
393,fenyi,100,CN,1551928921,99,27.82,114.69,7.39,4.77
394,athabasca,12,CA,1551928921,76,54.72,-113.29,-15.81,5.22
395,ambahta,0,IN,1551928922,81,29.85,77.33,13.44,1.92
396,gaziantep,0,TR,1551928802,87,37.06,37.38,9.0,2.1
397,parana,75,BR,1551924000,94,-7.52,-72.89,25.0,1.5
398,loukhi,80,RU,1551928922,77,66.08,33.04,-6.16,5.72
399,porto novo,40,BR,1551924000,88,-23.68,-45.44,22.0,1.5
400,dunedin,80,NZ,1551928944,47,-45.87,170.5,22.79,7.52
401,quang ngai,0,VN,1551928944,58,15.12,108.8,31.47,1.37
402,port lincoln,0,AU,1551928738,80,-34.72,135.86,20.39,5.27
403,conceicao do araguaia,36,BR,1551928945,96,-8.26,-49.26,22.47,2.82
404,abrau-dyurso,32,RU,1551925800,100,44.7,37.6,2.0,2.0
405,dawlatabad,0,AF,1551928946,79,36.41,64.91,1.54,0.22
406,neiafu,40,TO,1551924000,74,-18.65,-173.98,29.0,2.6
407,nuuk,32,GL,1551927000,34,64.17,-51.74,3.0,13.4
408,thinadhoo,88,MV,1551928947,100,0.53,72.93,27.89,2.97
409,pangkalanbuun,64,ID,1551928732,95,-2.68,111.62,26.74,1.87
410,farafangana,56,MG,1551928947,100,-22.82,47.83,24.57,2.07
411,lakhisarai,0,IN,1551928947,61,25.18,86.09,19.04,2.57
412,ostersund,80,SE,1551928300,92,63.18,14.64,-9.0,4.6
413,lexington,1,US,1551928883,53,38.05,-84.5,-2.0,2.1
414,alexandria,1,US,1551928710,62,31.31,-92.44,7.0,2.1
415,astana,0,KZ,1551925800,85,51.13,71.43,-7.0,6.0
416,hamilton,40,BM,1551927714,55,32.3,-64.78,16.11,11.3
417,moron,64,VE,1551928552,92,10.49,-68.2,19.64,1.17
418,emmett,75,US,1551928823,93,43.87,-116.5,11.0,3.6
419,tsiroanomandidy,68,MG,1551928949,97,-18.77,46.05,17.79,1.42
420,mahebourg,20,MU,1551928444,83,-20.41,57.7,25.56,1.0
421,ustka,64,PL,1551928950,86,54.58,16.86,5.79,8.42
422,geraldton,40,CA,1551927600,64,49.72,-86.95,-17.0,2.6
423,havoysund,0,NO,1551925200,85,71.0,24.66,-6.0,14.9
424,registro,56,BR,1551928951,91,-24.5,-47.84,22.09,2.57
425,santa maria,75,BR,1551924000,78,-29.69,-53.81,24.0,2.6
426,bocana de paiwas,44,NI,1551928951,66,12.79,-85.12,24.17,6.02
427,zima,92,RU,1551928952,87,53.93,102.05,-2.01,4.57
428,altay,0,CN,1551928952,69,47.83,88.13,-8.51,0.77
429,langsa,8,ID,1551928815,84,4.47,97.97,26.57,1.12
430,kamenka,0,RU,1551928953,71,53.19,44.05,-14.36,2.97
431,tiarei,75,PF,1551928382,70,-17.53,-149.33,30.0,3.1
432,paamiut,80,GL,1551928954,90,61.99,-49.67,0.64,20.32
433,muravlenko,88,RU,1551928954,88,63.79,74.5,-3.21,9.27
434,rabo de peixe,75,PT,1551928900,93,37.8,-25.58,16.0,3.1
435,qasigiannguit,32,GL,1551927000,45,68.82,-51.19,-4.0,7.7
436,melito di porto salvo,20,IT,1551928785,100,37.92,15.77,18.33,4.6
437,ushibuka,0,JP,1551928955,83,32.19,130.02,11.89,7.87
438,clyde river,90,CA,1551927600,83,70.47,-68.59,-21.0,4.6
439,pochutla,0,MX,1551928505,76,15.74,-96.47,26.67,4.17
440,salinopolis,88,BR,1551928956,100,-0.61,-47.36,25.44,3.17
441,la palma,48,CO,1551928678,100,5.36,-74.39,19.47,0.97
442,cururupu,88,BR,1551928957,100,-1.82,-44.87,22.22,1.97
443,talnakh,64,RU,1551928679,81,69.49,88.39,-16.06,10.22
444,fairview,1,US,1551928845,48,40.81,-74.0,-5.0,3.57
445,winnemucca,90,US,1551928548,70,40.97,-117.74,8.0,4.6
446,eltham,88,GB,1551928952,81,51.45,0.05,7.22,5.1
447,sibenik,44,HR,1551928959,52,45.81,17.18,9.89,3.07
448,dubai,32,AE,1551924000,88,25.27,55.3,19.0,2.6
449,san cristobal,75,EC,1551928568,87,-0.39,-78.55,15.0,3.6
450,margate,75,AU,1551928695,37,-43.03,147.26,19.44,8.7
451,sinnamary,92,GF,1551928781,96,5.38,-52.96,26.17,5.97
452,mizdah,0,LY,1551928960,55,31.45,12.98,4.07,2.12
453,tahoua,0,NE,1551928652,53,14.89,5.26,19.44,2.27
454,hokitika,100,NZ,1551928766,96,-42.72,170.96,16.97,8.87
455,hami,56,CN,1551928547,55,42.84,93.51,5.47,2.97
456,redland,1,US,1551928955,53,39.14,-77.14,-2.78,2.6
457,tilichiki,64,RU,1551928726,85,60.47,166.1,-4.86,4.32
458,chinandega,0,NI,1551928962,43,12.63,-87.13,28.99,6.92
459,la ronge,5,CA,1551927600,70,55.1,-105.3,-18.0,1.0
460,smithers,75,CA,1551927600,42,54.78,-127.17,-3.0,0.82
461,bonavista,48,CA,1551928591,88,48.65,-53.11,-6.11,5.36
462,katherine,0,AU,1551925800,44,-14.47,132.26,34.0,3.1
463,karratha,0,AU,1551928751,30,-20.74,116.85,36.64,1.97
464,koslan,76,RU,1551928985,81,63.46,48.9,-12.66,3.42
465,gamba,0,CN,1551928732,67,28.28,88.52,-13.16,1.97
466,husavik,0,CA,1551928471,81,50.56,-96.99,-17.22,1.17
467,nhulunbuy,40,AU,1551925800,66,-12.18,136.78,31.0,2.6
468,pitea,0,SE,1551928662,78,65.32,21.48,-9.0,1.5
469,ixtapa,75,MX,1551928549,83,20.71,-105.21,24.0,1.0
470,san jose,0,PH,1551928899,66,15.79,120.99,28.72,1.27
471,sao joao do piaui,32,BR,1551928988,88,-8.36,-42.25,21.82,1.97
472,burns lake,64,CA,1551928988,71,54.23,-125.76,-9.36,1.02
473,mariveles,20,PH,1551928686,58,14.48,120.48,30.0,3.6
474,magan,0,RU,1551925800,78,62.1,129.53,-13.0,2.0
475,tautira,75,PF,1551928382,70,-17.73,-149.15,30.0,3.1
476,bandarbeyla,0,SO,1551928797,100,9.49,50.81,24.72,4.32
477,constantine,0,DZ,1551927600,43,36.36,6.61,12.0,1.0
478,bonfim,0,BR,1551924000,78,-20.33,-44.24,22.0,2.1
479,vanavara,36,RU,1551928623,66,60.35,102.28,-9.09,1.67
480,wellingborough,44,GB,1551928983,86,52.3,-0.69,6.11,6.7
481,north bend,20,US,1551928830,87,43.41,-124.22,6.11,2.6
482,arawa,48,NG,1551928991,95,7.05,3.9,24.92,1.52
483,lanzhou,90,CN,1551924000,69,36.06,103.82,3.0,1.0
484,severodvinsk,40,RU,1551925800,78,64.56,39.82,-9.0,5.0
485,boone,1,US,1551928782,45,36.22,-81.67,0.0,2.62
486,pleasant point,68,NZ,1551928931,23,-44.26,171.13,23.33,3.13
487,kavarna,0,BG,1551927600,80,43.43,28.33,2.0,2.6
488,yarmouth,56,GB,1551928966,87,50.71,-1.5,7.78,6.2
489,hidalgo,90,US,1551928955,62,26.1,-98.26,14.44,1.92
490,solano,20,PH,1551928993,59,16.52,121.18,25.19,1.22
491,loikaw,0,MM,1551928993,61,19.67,97.21,23.92,1.52
492,itarema,64,BR,1551928994,97,-2.92,-39.92,23.39,2.27
493,honiara,64,SB,1551928994,85,-9.43,159.96,27.42,1.42
494,waiouru,64,NZ,1551928766,48,-39.48,175.67,22.39,4.77
495,brae,88,GB,1551925200,86,60.4,-1.35,6.0,11.3
496,peniche,20,PT,1551928558,76,39.36,-9.38,11.67,2.6
497,mahajanga,40,MG,1551927600,88,-15.72,46.32,23.0,6.17
498,loandjili,40,CG,1551924000,94,-4.77,11.87,26.0,1.5
499,marck,92,FR,1551928868,87,50.95,1.95,9.0,7.2
500,kulhudhuffushi,92,MV,1551928797,100,6.62,73.07,27.74,1.97
501,los llanos de aridane,40,ES,1551928626,67,28.66,-17.92,17.0,5.7
502,sawakin,0,SD,1551928996,100,19.1,37.33,14.99,4.27
503,makakilo city,20,US,1551928569,64,21.35,-158.09,24.0,5.1
504,baykit,12,RU,1551928997,70,61.68,96.39,-13.29,1.77
505,acapulco,5,MX,1551923040,69,16.86,-99.88,27.0,1.5
506,teya,75,MX,1551928579,64,21.05,-89.07,24.0,5.1
507,pergamino,56,AR,1551928978,89,-33.9,-60.57,23.33,0.89
508,oussouye,0,SN,1551927600,64,12.49,-16.54,23.0,3.1
509,mikolow,0,PL,1551928980,60,50.17,18.9,5.56,5.1
510,arlit,0,NE,1551928664,44,18.74,7.39,14.72,1.37
511,vieira de leiria,75,PT,1551928984,93,39.87,-8.94,10.0,1.5
512,vihti,90,FI,1551928976,92,60.42,24.32,0.0,5.7
513,mackay,20,CA,1551927600,71,53.65,-115.58,-14.0,5.7
514,kingman,20,US,1551928711,38,35.19,-114.05,21.11,9.8
515,blagoyevo,76,RU,1551929000,78,63.37,47.92,-12.06,3.67
516,vanimo,12,PG,1551928784,100,-2.67,141.3,28.42,3.12
517,tongchuan,0,CN,1551924000,36,34.9,108.95,9.0,11.0
518,zhukovka,0,RU,1551928883,71,55.51,37.29,-10.0,2.0
519,gigmoto,48,PH,1551929001,93,13.78,124.39,27.04,3.32
520,washougal,90,US,1551928892,86,45.58,-122.35,2.22,1.07
521,gao,0,ML,1551929002,41,16.28,-0.04,15.07,3.27
522,atbasar,64,KZ,1551928728,89,51.81,68.36,-2.81,7.32
523,todos santos,36,MX,1551928832,91,23.45,-110.23,21.67,2.57
524,carpinteria,90,US,1551929000,93,34.4,-119.52,16.0,2.1
525,san nicolas,92,HN,1551929003,96,14.94,-88.33,19.17,0.97
526,ekhabi,0,RU,1551929003,99,53.51,142.97,-8.96,4.22
527,sobolevo,0,RU,1551928764,79,54.43,31.9,-11.16,4.82
528,haikou,90,CN,1551924000,94,20.04,110.34,22.0,5.0
529,talara,80,PE,1551929004,74,-4.58,-81.27,25.34,2.07
530,flin flon,0,CA,1551928805,69,54.77,-101.88,-14.06,2.72
531,akot,0,IN,1551929005,44,21.09,77.05,21.82,0.77
532,houston,75,US,1551928627,66,29.76,-95.37,12.0,3.6
533,joshimath,0,IN,1551929005,99,30.57,79.57,-19.29,0.07
534,linxia,80,CN,1551929005,74,35.6,103.21,-0.51,1.67
535,ayolas,92,PY,1551929006,92,-27.39,-56.84,23.67,4.27
536,auki,12,NG,1551928764,38,12.18,6.51,20.59,3.07
537,haimen,0,CN,1551928459,51,31.87,121.18,11.11,1.34
538,japura,0,ID,1551929007,80,-0.42,102.29,28.89,1.27
539,consett,20,GB,1551928884,86,54.85,-1.83,6.11,2.6
540,ambulu,92,ID,1551929007,100,-8.35,113.61,23.79,7.17
541,havre-saint-pierre,20,CA,1551927600,59,50.23,-63.6,-18.0,3.6
542,santa fe,0,AR,1551928886,90,-31.62,-60.7,25.56,0.89
543,coahuayana,0,MX,1551928538,62,18.62,-100.35,20.04,0.92
544,etne,92,NO,1551928924,86,59.66,5.93,6.11,7.7
545,rockland,1,US,1551928990,37,42.13,-70.92,-7.0,3.1
546,dubbo,0,AU,1551925800,34,-32.25,148.6,28.0,7.2
547,lagos,20,NG,1551927600,94,6.46,3.39,24.0,1.0
548,zyryanka,0,RU,1551928793,59,65.73,150.89,-16.94,2.12
549,natal,20,BR,1551927600,78,-5.81,-35.21,27.0,3.6
550,poya,0,NC,1551929011,100,-21.35,165.16,25.44,6.07
551,aurad,0,IN,1551929011,37,18.25,77.42,22.72,3.72
552,clinton,1,US,1551928877,79,41.84,-90.19,-2.0,5.1
553,itaituba,0,BR,1551929012,88,-4.26,-55.99,23.97,1.42
554,poltavka,92,RU,1551929013,93,54.36,71.76,1.34,6.27
555,shiyan,36,CN,1551929013,42,32.65,110.78,5.74,2.42
556,dolores,48,AR,1551929013,68,-36.31,-57.68,24.64,5.42
557,coihaique,44,CL,1551926700,81,-45.58,-72.07,10.0,6.2
558,verkhnetulomskiy,0,RU,1551925800,76,68.61,31.8,-22.0,1.0
559,puerto baquerizo moreno,0,EC,1551929014,98,-0.9,-89.6,26.69,4.62
560,waipawa,12,NZ,1551928756,38,-39.94,176.59,27.22,0.45
561,nanlong,92,CN,1551929015,92,31.35,106.05,9.84,4.67
562,huilong,92,CN,1551929015,95,28.89,110.18,4.19,3.77
563,marsh harbour,12,BS,1551929015,100,26.54,-77.06,20.34,7.37
564,luganville,8,VU,1551929016,97,-15.51,167.18,28.99,1.67
565,port macquarie,90,AU,1551928445,77,-31.43,152.91,20.0,2.6
566,paramirim,32,BR,1551929016,83,-13.44,-42.24,20.34,3.67
567,takapau,12,NZ,1551928756,38,-40.02,176.35,27.22,0.45
568,vila do maio,20,CV,1551927600,72,15.13,-23.22,20.0,10.8
569,yeppoon,48,AU,1551925800,52,-23.13,150.74,32.0,5.1
