,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
87,kipini,0,KE,1551928843,97,-2.53,40.53,26.32,5.02
88,celestun,8,MX,1551928843,100,20.87,-90.4,24.54,11.12
89,fethiye,0,TR,1551928576,100,36.62,29.12,9.44,2.1
90,ilulissat,32,GL,1551927000,45,69.22,-51.1,-4.0,7.7
91,kununurra,0,AU,1551925800,41,-15.77,128.74,36.0,3.6
92,tura,0,IN,1551928574,60,25.52,90.21,20.24,1.22
93,las guaranas,40,DO,1551924000,78,19.19,-70.21,25.0,5.1
94,oktyabrskoye,40,RU,1551928826,85,56.73,85.44,-5.0,5.0
95,lata,0,IN,1551928845,82,30.78,78.62,2.82,0.97
96,grand gaube,20,MU,1551928444,83,-20.01,57.66,25.56,1.0
97,naze,8,NG,1551928620,95,5.43,7.07,22.79,2.42
98,cessnock,90,AU,1551928825,60,-32.83,151.35,21.67,5.1
99,praya,75,ID,1551927600,78,-8.71,116.27,28.0,1.5
100,castro,90,CL,1551924000,93,-42.48,-73.76,12.0,1.5
101,ivanteyevka,0,RU,1551927204,72,55.97,37.92,-10.0,3.0
102,nakambala,48,ZM,1551928846,65,-15.83,27.78,20.49,1.57
103,pisco,75,PE,1551924000,30,-13.71,-76.2,22.0,3.1
104,leningradskiy,80,RU,1551928743,100,69.38,178.42,-12.96,2.17
105,labuhan,48,ID,1551928794,71,-2.54,115.51,28.54,1.27
106,severo-kurilsk,56,RU,1551928677,100,50.68,156.12,-3.51,7.47
107,hasaki,75,JP,1551928423,87,35.73,140.83,9.0,8.7
108,saint-augustin,75,FR,1551928826,93,44.83,-0.61,10.0,6.2
109,manzanillo,0,CU,1551928848,100,20.34,-77.12,25.92,9.87
110,sao joao da barra,68,BR,1551928643,100,-21.64,-41.05,26.42,4.22
111,linkoping,92,SE,1551928570,100,58.41,15.62,3.0,5.7
112,aksu,90,KZ,1551925800,86,52.04,76.93,-3.0,4.0
113,miri,8,NG,1551928849,55,10.31,9.75,17.09,1.62
114,atikokan,24,CA,1551928849,67,48.76,-91.62,-15.29,2.77
115,port elizabeth,1,US,1551928604,45,39.31,-74.98,-2.78,3.1
116,balkanabat,0,TM,1551928849,83,39.51,54.36,0.19,1.77
117,port-cartier,75,CA,1551928567,54,50.03,-66.88,-15.57,4.1
118,padang,40,ID,1551924000,79,-0.92,100.36,29.0,1.5
119,taoudenni,0,ML,1551928850,29,22.68,-3.98,9.79,1.27
120,ahipara,44,NZ,1551924304,77,-35.17,173.16,28.33,0.45
121,tezu,100,IN,1551928850,100,27.93,96.16,8.59,0.52
122,vestmannaeyjar,0,IS,1551928534,100,63.44,-20.27,-4.46,6.37
123,bakchar,80,RU,1551928851,84,57.02,82.07,-3.81,4.22
124,minamata,75,JP,1551928385,61,32.18,130.48,12.78,9.8
125,tual,20,ID,1551928851,100,-5.67,132.75,28.72,1.87
126,hithadhoo,88,MV,1551928721,100,-0.6,73.08,28.24,2.27
127,morant bay,20,JM,1551924000,57,17.88,-76.41,26.0,2.1
128,nouadhibou,0,MR,1551927600,82,20.93,-17.03,17.0,9.3
129,vao,80,EE,1551928775,90,59.1,26.19,-4.26,4.47
130,pangnirtung,44,CA,1551928762,67,66.15,-65.72,-23.26,2.87
131,carndonagh,92,IE,1551928852,98,55.25,-7.27,6.47,10.77
132,charlestown,1,US,1551928625,52,41.38,-71.64,-5.57,4.1
133,nantucket,20,US,1551928837,31,41.28,-70.1,-5.57,8.7
134,necochea,0,AR,1551928615,84,-38.55,-58.74,24.44,1.79
135,pekan,75,MY,1551924000,79,3.49,103.39,29.0,1.0
136,nanortalik,88,GL,1551928638,93,60.14,-45.24,-0.06,6.57
137,koumac,32,NC,1551928854,84,-20.56,164.28,28.32,2.57
138,dalvik,92,SE,1551928806,100,57.79,14.13,4.44,5.1
139,roebourne,0,AU,1551928854,30,-20.77,117.15,36.64,1.97
140,qaanaaq,64,GL,1551928375,91,77.48,-69.36,-18.94,1.57
141,sterling,1,US,1551928585,53,39.0,-77.4,-2.78,2.6
142,adolfo lopez mateos,88,MX,1551928816,68,26.8,-109.39,22.78,0.92
143,butaritari,64,KI,1551928524,100,3.07,172.79,26.59,5.27
144,praia da vitoria,40,PT,1551927717,93,38.73,-27.07,17.0,9.27
145,new norfolk,75,AU,1551928483,37,-42.78,147.06,19.0,8.7
146,sayyan,8,YE,1551928856,93,15.17,44.32,7.67,0.42
147,khatanga,56,RU,1551928620,77,71.98,102.47,-18.21,5.37
148,teguldet,56,RU,1551928812,83,57.31,88.17,-6.19,2.57
149,port alfred,36,ZA,1551928643,84,-33.59,26.89,21.11,2.68
150,kapaa,20,US,1551928104,64,22.08,-159.32,25.0,10.8
151,douentza,32,ML,1551928857,53,15.01,-2.95,12.97,1.42
152,sorland,48,NO,1551928732,100,67.67,12.69,1.67,8.07
153,caidian,0,CN,1551924000,43,30.59,114.03,11.0,6.0
154,tuktoyaktuk,90,CA,1551924000,77,69.44,-133.03,-16.0,2.6
155,sambava,68,MG,1551928859,100,-14.27,50.17,23.89,0.82
156,bambous virieux,20,MU,1551928444,83,-20.34,57.76,25.56,1.0
157,antalaha,76,MG,1551928859,100,-14.9,50.28,23.39,1.67
158,sulangan,0,PH,1551928859,100,11.14,123.72,26.54,6.47
159,ostrovnoy,32,RU,1551928727,80,68.05,39.51,-13.76,7.62
160,yellowknife,20,CA,1551928581,84,62.45,-114.38,-12.22,2.1
161,piacabucu,88,BR,1551928860,83,-10.41,-36.43,25.49,2.37
162,kutum,0,SD,1551928771,34,14.2,24.66,13.44,3.87
163,minador do negrao,44,BR,1551928860,89,-9.31,-36.86,23.07,2.52
164,salalah,0,OM,1551923400,73,17.01,54.1,23.0,2.1
165,xuddur,0,SO,1551928719,73,4.12,43.89,20.97,5.27
166,the valley,75,AI,1551927663,78,18.22,-63.06,25.0,6.62
167,presidencia roque saenz pena,92,AR,1551928862,96,-26.79,-60.44,23.22,2.52
168,nemuro,20,JP,1551924000,63,43.32,145.57,-2.0,6.7
169,sapa,40,PH,1551928686,62,14.32,120.76,29.0,4.1
170,avarua,88,CK,1551925800,70,-21.21,-159.78,29.0,10.3
171,lorengau,8,PG,1551928624,100,-2.02,147.27,28.17,0.27
172,micheweni,20,TZ,1551928864,100,-4.97,39.83,27.89,5.92
173,port hedland,0,AU,1551925800,19,-20.31,118.58,40.0,5.7
174,zheleznodorozhnyy,0,RU,1551927204,72,55.75,38.0,-10.0,2.0
175,te anau,64,NZ,1551928790,61,-45.41,167.72,17.32,8.32
176,lasa,40,CY,1551928597,77,34.92,32.53,16.0,7.2
177,pelaya,24,CO,1551928866,65,8.69,-73.67,27.99,1.57
178,torbay,90,CA,1551928645,92,47.66,-52.73,-5.57,6.7
